country,age
Algeria	,18
Cameroon	,16
Egypt	,18
Eswatini	,18
Ethiopia	,18
Ghana	,18
Kenya	,18
Lesotho	,18
Libya	,18
Mali	,18
Mauritania	,18
Mauritius	,15
Morocco	,18
Motorcycles	,17
Mozambique	,18
Namibia	,18
Niger	,23
Nigeria	,18
Senegal	,18
South Africa	,17
Tanzania	,18
Tunisia	,18
Zambia	,16
Zimbabwe	,16
